"","comm.rank..","name","Class","Object","Field","Default","Minimum","Maximum","Distribution","Type","Group","Constraint","p20","p80"
"117",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:5_Fan","Fan Efficiency",0.53625,0.375375,0.697125,"uniform","float",3,"",0.439725,0.632775
"118",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:5_Fan","Pressure Rise",622,435.4,808.6,"uniform","float",4,"",510.04,733.96
"119",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:5_Fan","Motor Efficiency",0.825,0.5775,0.999,"uniform","float",3,"",0.6618,0.9147
"120",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:6_Fan","Fan Efficiency",0.53625,0.375375,0.697125,"uniform","float",3,"",0.439725,0.632775
"121",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:6_Fan","Pressure Rise",622,435.4,808.6,"uniform","float",4,"",510.04,733.96
"122",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:6_Fan","Motor Efficiency",0.825,0.5775,0.999,"uniform","float",3,"",0.6618,0.9147
"123",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:7_Fan","Fan Efficiency",0.56875,0.398125,0.739375,"uniform","float",3,"",0.466375,0.671125
"124",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:7_Fan","Pressure Rise",622,435.4,808.6,"uniform","float",4,"",510.04,733.96
"125",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:7_Fan","Motor Efficiency",0.875,0.6125,0.999,"uniform","float",3,"",0.6898,0.9217
"126",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:8_Fan","Fan Efficiency",0.53625,0.375375,0.697125,"uniform","float",3,"",0.439725,0.632775
"127",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:8_Fan","Pressure Rise",622,435.4,808.6,"uniform","float",4,"",510.04,733.96
"128",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:8_Fan","Motor Efficiency",0.825,0.5775,0.999,"uniform","float",3,"",0.6618,0.9147
"129",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:9_Fan","Fan Efficiency",0.53625,0.375375,0.697125,"uniform","float",3,"",0.439725,0.632775
"130",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:9_Fan","Pressure Rise",622,435.4,808.6,"uniform","float",4,"",510.04,733.96
"131",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:9_Fan","Motor Efficiency",0.825,0.5775,0.999,"uniform","float",3,"",0.6618,0.9147
"132",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom101 PTAC DXCoil","Rated COP",3.803284597,2.66,4.94,"uniform","float",5,"",3.116,4.484
"133",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom102 PTAC DXCoil","Rated COP",3.803284597,2.66,4.94,"uniform","float",5,"",3.116,4.484
"134",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom103 PTAC DXCoil","Rated COP",3.803284597,2.66,4.94,"uniform","float",5,"",3.116,4.484
"135",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom104 PTAC DXCoil","Rated COP",3.803284597,2.66,4.94,"uniform","float",5,"",3.116,4.484
"136",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom105 PTAC DXCoil","Rated COP",3.803284597,2.66,4.94,"uniform","float",5,"",3.116,4.484
"137",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom201 PTAC DXCoil","Rated COP",3.77134409,2.639,4.901,"uniform","float",5,"",3.0914,4.4486
"138",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom202_205 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",5,"",2.6486,3.8114
"139",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom206_208 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",5,"",2.6486,3.8114
"140",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom209_212 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",5,"",2.6486,3.8114
"141",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom213 PTAC DXCoil","Rated COP",3.796034697,2.6572,4.9348,"uniform","float",5,"",3.11272,4.47928
"142",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom214 PTAC DXCoil","Rated COP",3.803284597,2.6621,4.9439,"uniform","float",5,"",3.11846,4.48754
"143",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom215_218 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",5,"",2.6486,3.8114
"144",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom219 PTAC DXCoil","Rated COP",3.727186868,2.6089,4.8451,"uniform","float",5,"",3.05614,4.39786
